icc_match_id,match_date,match_time,home_team,away_team,match_name,tournament_name,match_type,innings_count,hawkeye_link
38,2012-04-28,16:00,Chennai Super Kings,Kings XI Punjab,ipl2012-37,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/38/uds/traj
39,2012-04-28,20:00,Kolkata Knight Riders,Royal Challengers Bangalore,ipl2012-38,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/39/uds/traj
40,2012-04-29,16:00,Delhi Daredevils,Rajasthan Royals,ipl2012-39,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/40/uds/traj
41,2012-04-29,20:00,Mumbai Indians,Deccan Chargers,ipl2012-40,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/41/uds/traj
42,2012-04-30,20:00,Chennai Super Kings,Kolkata Knight Riders,ipl2012-41,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/42/uds/traj
43,2012-05-01,16:00,Deccan Chargers,Pune Warriors India,ipl2012-42,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/43/uds/traj
44,2012-05-01,20:00,Rajasthan Royals,Delhi Daredevils,ipl2012-43,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/44/uds/traj
45,2012-05-02,20:00,Royal Challengers Bangalore,Kings XI Punjab,ipl2012-44,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/45/uds/traj
46,2012-05-03,20:00,Pune Warriors India,Mumbai Indians,ipl2012-45,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/46/uds/traj
47,2012-05-04,20:00,Chennai Super Kings,Deccan Chargers,ipl2012-46,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/47/uds/traj
49,2012-05-05,20:00,Kings XI Punjab,Rajasthan Royals,ipl2012-48,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/49/uds/traj
